STORE_ID,DATE,MARKDOWN_1,MARKDOWN_2,MARKDOWN_3,MARKDOWN_4,MARKDOWN_5
1,11/11/2011,10382.9,6115.67,215.07,2406.62,6551.42
1,18/11/2011,6074.12,254.39,51.98,427.39,5988.57
1,25/11/2011,410.31,98,55805.51,8,554.92
1,02/12/2011,5629.51,68,1398.11,2084.64,20475.32
1,09/12/2011,4640.65,19,105.02,3639.42,14461.82
1,16/12/2011,5011.32,67,347.37,225.79,4011.37
1,23/12/2011,2725.36,40.48,634.7,24.9,2739.43
1,30/12/2011,5762.1,46011.38,260.36,983.65,4735.78
1,06/01/2012,6277.39,21813.16,143.1,1450.13,8483
1,13/01/2012,5183.29,8025.87,42.24,453.08,3719.38
1,20/01/2012,4139.87,2807.19,33.88,500.62,3400.21
1,27/01/2012,1164.46,1082.74,44,11,1222.19
1,03/02/2012,34577.06,3579.21,160.53,32403.87,5630.4
1,10/02/2012,13925.06,6927.23,101.64,8471.88,6886.04
1,17/02/2012,9873.33,11062.27,9.8,8409.31,3402.66
1,24/02/2012,9349.61,7556.01,3.2,1219.92,8143.59
1,02/03/2012,15441.4,1569,10.8,25390.88,8067.61
1,09/03/2012,10331.04,151.88,6,671.43,5509.84
1,16/03/2012,4298.16,7.5,2.02,2724.65,2017.69
1,23/03/2012,6118.56,9.48,4.97,426.72,3657.22
1,30/03/2012,10309.58,0.5,10.25,1654.17,2642.78
1,06/04/2012,10121.97,NA,77.98,3750.59,4510.72
1,13/04/2012,6186.19,3288.69,17.07,1822.55,1063.78
1,20/04/2012,2230.8,612.02,19.75,275.13,5747.1
1,27/04/2012,3221.25,NA,35.49,577.14,6222.25
1,04/05/2012,21290.13,NA,69.89,4977.35,3261.04
1,11/05/2012,8351.4,NA,10.52,2443.14,3127.88
1,18/05/2012,6154.14,NA,45.11,1675.49,5508.18
1,25/05/2012,4039.39,NA,745.19,1429.96,3631.13
1,01/06/2012,6086.21,12,370.51,148.75,3690.85
1,08/06/2012,8813.81,116.8,64.55,2652.04,7161.91
1,15/06/2012,5621.99,109.6,0.25,2420.28,3083.26
1,22/06/2012,8624.56,171.25,3.05,2524.07,7063.68
1,29/06/2012,3965.73,161.6,NA,435.99,4212.97
1,06/07/2012,12218.76,94.4,192.83,4066.01,6149.04
1,13/07/2012,7218.13,45.2,36.24,3909.38,2596.37
1,20/07/2012,3213,313.72,9.53,2262.02,3228.19
1,27/07/2012,7146.9,389.02,1.59,10267.54,4325.19
1,03/08/2012,27584.78,119.98,30.23,12007.04,4661.71
1,10/08/2012,11436.22,245,6.85,6964.26,4836.22
1,17/08/2012,3662.06,137.86,4.84,2752.2,3446.15
1,24/08/2012,6237.83,260.06,2.97,3463.03,7988.25
1,31/08/2012,21442.73,102.32,21.7,13209.64,3032.96
1,07/09/2012,5204.68,35.74,50.94,4120.32,2737.17
1,14/09/2012,17212.52,7,18.79,1523.11,7992.72
1,21/09/2012,6352.3,7.64,4.69,1010.06,6456.71
1,28/09/2012,3666.27,7.64,1.65,1417.96,4744.28
1,05/10/2012,8077.89,NA,18.22,3617.43,3626.14
1,12/10/2012,2086.18,NA,8.11,602.36,5926.45
1,19/10/2012,950.33,NA,4.93,80.25,2312.85
1,26/10/2012,2585.85,31.75,6,1057.16,1305.01
1,02/11/2012,6766.44,5147.7,50.82,3639.9,2737.42
1,09/11/2012,11421.32,3370.89,40.28,4646.79,6154.16
1,16/11/2012,9696.28,292.1,103.78,1133.15,6612.69
1,23/11/2012,883.59,4.17,74910.32,209.91,303.32
1,30/11/2012,2460.03,NA,3838.35,150.57,6966.34
1,07/12/2012,6343.16,NA,270,2928.9,10147.9
1,14/12/2012,3504.83,NA,73.26,1636.8,2779.6
1,21/12/2012,8231.71,NA,274,358.15,2834.02
1,28/12/2012,12659.55,37101.13,174.78,74.46,1208.86
1,04/01/2013,1214.08,25366.33,15.01,72.36,3940.02
1,11/01/2013,6520.24,16134.6,12.17,774.55,4001.25
1,18/01/2013,3772.69,3559.46,3.88,246.62,1900.4
